Vital rate,Estimate,Method of estimation,Sample size,Which model,DOI,Year,Author,Comments
survival 1,0.9,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 2-5,0.96,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 6-15,0.985,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 16-20,0.997,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 21-50,0.985,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
survival 51-60,0.9,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 1,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 2-5,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 6-15,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 16-20,0.225,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 21-50,0.225,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
fecundity 51-60,0.2,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial ferility rate 1,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial ferility rate 2-5,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial ferility rate 6-15,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial fertility rate 16-20,0.2243,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial fertility rate 21-50,0.2216,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
initial fertility rate 51-60,0.18,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 1,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 2-5,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 6-15,0,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 16-20,4.4444,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 21-50,4.4444,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
minimum calving interval 51-60,5,can't tell,not reported,NA,10.1016/j.biocon.2014.05.026,2014,Goswami,
female survival 0-4.9,0.76,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 5-9.9,0.93,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 10-14.9,0.93,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 15-19.9,0.86,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 20-24.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 25-29.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 30-34.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 35-39.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 40-44.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 45-49.9,0.95,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 50-54.9,0.59,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 55-59.9,0.59,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 60+,0,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 0-4.9,0.64,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 5-9.9,0.72,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 10-14.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 15-19.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 20-24.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 25-29.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 30-34.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 35-39.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 40-44.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 45-49.9,0.82,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 50-54.9,0.59,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 55-59.9,0.59,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 60+,0,can't tell,not reported,Asian elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 0-4.9,0.84,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 5-9.9,0.99,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 10-14.9,0.99,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 15-19.9,0.97,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 20-24.9,0.99,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 25-29.9,0.95,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 30-34.9,0.95,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 35-39.9,0.95,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 40-44.9,0.9,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 45-49.9,0.93,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 50-54.9,0.74,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 55-59.9,0.74,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
female survival 60+,0,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 0-4.9,0.79,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 5-9.9,0.96,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 10-14.9,0.96,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 15-19.9,0.89,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 20-24.9,0.91,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 25-29.9,0.9,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 30-34.9,0.88,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 35-39.9,0.88,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 40-44.9,0.89,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 45-49.9,0.79,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 50-54.9,0.87,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 55-59.9,0.75,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
male survival 60+,0,can't tell,not reported,African elephant,10.1016/j.biocon.2013.05.008,2013,Chelliah,
YA female to male infant,0.067,direct calculation,852,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
A female to male infant,0.341,direct calculation,4405,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
YA female to female infant,0.06,direct calculation,852,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
A female to female infant,0.345,direct calculation,4405,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival infant,0.877,direct calculation,1558,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival yearling,0.917,direct calculation,1451,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival juvenile,0.964,direct calculation,1216,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival YA,0.991,direct calculation,774,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
male survival A,0.929,direct calculation,2574,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
female survival infant,0.881,direct calculation,1515,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
female survival yearling,0.92,direct calculation,1381,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
female survival juvenile,0.967,direct calculation,1171,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
female survival YA,0.985,direct calculation,852,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
female survival A,0.943,direct calculation,4405,NA,10.1002/ajp.22375,2016,Hernandez-Pacheco,
survival juvenile,0.19,direct calculation: juvenile survival direct estimation for lambda = 1,NA,site 1,10.1111/cobi.12429,2014,Ryberg,
survival adult,0.65,"direct calculation: adult = montly estimate,",max: 21,site 1,10.1111/cobi.12429,2014,Ryberg,report total number per site but not by age. Just mention too few recaptures of juveniles to estimate directly
fertility,2.46,direct calculation: mean number of eggs per female,max: 21,site 1 ,10.1111/cobi.12429,2014,Ryberg,
survival juvenile,0.2,direct calculation: juvenile survival direct estimation for lambda = 1,NA,site 2,10.1111/cobi.12429,2014,Ryberg,
survival adult,0.74,"direct calculation: adult = montly estimate,",max: 29,site 2,10.1111/cobi.12429,2014,Ryberg,
fertility,2.32,direct calculation: mean number of eggs per female,max: 29,site 2,10.1111/cobi.12429,2014,Ryberg,
survival juvenile,0.29,direct calculation: juvenile survival direct estimation for lambda = 1,NA,site 3,10.1111/cobi.12429,2014,Ryberg,
survival adult,0.57,"direct calculation: adult = montly estimate,",max: 10,site 3,10.1111/cobi.12429,2014,Ryberg,
fertility,3,direct calculation: mean number of eggs per female,max: 10,site 3,10.1111/cobi.12429,2014,Ryberg,
survival juvenile,0.23,direct calculation: juvenile survival direct estimation for lambda = 1,NA,site 4,10.1111/cobi.12429,2014,Ryberg,
survival adult,0.69,"direct calculation: adult = montly estimate,",max: 41,site 4,10.1111/cobi.12429,2014,Ryberg,
fertility,2.36,direct calculation: mean number of eggs per female,max:41,site 4,10.1111/cobi.12429,2014,Ryberg,
survival juvenile,0.35,direct calculation: juvenile survival direct estimation for lambda = 1,NA,site 5,10.1111/cobi.12429,2014,Ryberg,
survival adult,0.65,"direct calculation: adult = montly estimate,",max: 17,site 5,10.1111/cobi.12429,2014,Ryberg,
fertility,2,direct calculation: mean number of eggs per female,max: 17,site 5,10.1111/cobi.12429,2014,Ryberg,
survival juvenile,0.27,direct calculation: juvenile survival direct estimation for lambda = 1,NA,site 6,10.1111/cobi.12429,2014,Ryberg,
survival adult,0.69,"direct calculation: adult = montly estimate,",max: 12,site 6,10.1111/cobi.12429,2014,Ryberg,
fertility,2.33,direct calculation: mean number of eggs per female,max: 12,site 6,10.1111/cobi.12429,2014,Ryberg,
fecundity adult 1,82.3186,direct calculation: number of eggs * propotion female,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
fecundity adult 2,84.1278,direct calculation: number of eggs * propotion female,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
fecundity adult 3,77.7956,direct calculation: number of eggs * propotion female,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
survival stage 1,0.584,direct calculation: Frazer's method and Peulou method,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
stasis juveniles,0.4398,direct calculation: Frazer's method and Peulou method,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
survival juveniles,0.0002,direct calculation: Frazer's method and Peulou method,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
stasis adult 1,0.8876,direct calculation: Frazer's method and Peulou method,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
survival adult 1,0.0225,direct calculation: Frazer's method and Peulou method,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
stasis adult 2,0.9141,direct calculation: Frazer's method and Peulou method,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
survival 2,0.0159,direct calculation: Frazer's method and Peulou method,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
stasis adult 3,0.9268,direct calculation: Frazer's method and Peulou method,can't tell,NA,10.2744/CCB-0778.1,2010,Mogollones,
size class 1 to 2,0.684,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 2 to 2,0.483,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 3 to 2,0.017,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 2 to 3,0.202,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 3 to 3,0.813,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 4 to 3,0.034,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 3 to 4,0.087,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 4 to 4,0.833,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 5 to 4,0.057,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 4 to 1,0.003,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 4 to 5,0.071,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 5 to 5,0.758,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 6 to 5,0.124,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 5 to 6,0.051,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 5 to 1,0.089,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 6 to 6,0.731,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 7 to 6,0.059,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 6 to 1,0.378,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 6 to 4,0.019,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 6 to 7,0.063,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 7 to 7,0.85,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 7 to 5,0.019,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 7 to 1,0.814,direct calculation,not reported,Medes Islands,10.3354/meps08437,2010,Linares,
size class 1 to 2,0.765,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 2 to 2,0.471,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 3 to 2,0.048,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 2 to 3,0.294,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 3 to 3,0.774,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 4 to 3,0.093,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 3 to 4,0.032,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 4 to 4,0.713,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 5 to 4,0.129,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 4 to 1,0.003,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 4 to 5,0.053,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 5 to 5,0.689,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 6 to 5,0.229,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 5 to 6,0.061,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 5 to 3,0.008,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 5 to 1,0.089,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 6 to 6,0.569,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 7 to 6,0.254,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 6 to 1,0.378,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 6 to 4,0.028,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 6 to 7,0.092,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 7 to 7,0.627,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 7 to 5,0.051,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 7 to 4,0.017,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 7 to 1,0.814,direct calculation,not reported,Cap de Creus,10.3354/meps08437,2010,Linares,
size class 1 to 2,0.765,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 2 to 2,0.471,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 3 to 2,0.048,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 2 to 3,0.294,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 3 to 3,0.774,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 4 to 3,0.093,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 3 to 4,0.032,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 4 to 4,0.713,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 5 to 4,0.129,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 4 to 1,0.003,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 4 to 5,0.053,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 5 to 5,0.689,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 6 to 5,0.229,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 5 to 6,0.061,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 5 to 3,0.008,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 5 to 1,0.089,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 6 to 6,0.569,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 7 to 6,0.254,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 6 to 1,0.378,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 6 to 4,0.028,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 6 to 7,0.092,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 7 to 7,0.627,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 7 to 5,0.051,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 7 to 4,0.017,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 7 to 1,0.814,direct calculation,not reported,1999-2000,10.3354/meps08437,2010,Linares,
size class 1 to 2,0.698,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 2 to 2,0.372,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 3 to 2,0.041,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 2 to 3,0.326,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 3 to 3,0.633,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 4 to 3,0.097,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 3 to 4,0.065,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 4 to 4,0.694,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 5 to 4,0.228,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 4 to 1,0.003,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 4 to 5,0.075,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 5 to 5,0.496,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 6 to 5,0.188,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 5 to 6,0.063,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 5 to 3,0,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 5 to 1,0.089,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 6 to 6,0.518,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 7 to 6,0.234,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 6 to 1,0.378,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 6 to 4,0.071,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 6 to 3,0.012,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 6 to 7,0.094,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 7 to 7,0.532,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 7 to 5,0.021,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 7 to 4,0.043,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 7 to 1,0.814,direct calculation,not reported,2000-2001,10.3354/meps08437,2010,Linares,
size class 1 to 2,0.692,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 2 to 2,0.449,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 3 to 2,0.007,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 2 to 3,0.244,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 3 to 3,0.711,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 4 to 3,0.07,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 3 to 4,0.126,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 4 to 4,0.746,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 5 to 4,0.099,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 4 to 1,0.003,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 4 to 5,0.106,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 5 to 5,0.747,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 6 to 5,0.172,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 5 to 6,0.077,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 5 to 3,0,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 5 to 1,0.089,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 6 to 6,0.719,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 7 to 6,0.091,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 6 to 1,0.378,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 6 to 4,0,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 6 to 7,0.016,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 7 to 7,0.758,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 7 to 5,0.061,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 7 to 4,0,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 7 to 1,0.814,direct calculation,not reported,2001-2002,10.3354/meps08437,2010,Linares,
size class 1 to 2,0.686,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 2 to 2,0.49,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 3 to 2,0,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 2 to 3,0.196,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 3 to 3,0.816,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 4 to 3,0.038,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 3 to 4,0.08,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 4 to 4,0.765,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 5 to 4,0.083,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 4 to 1,0.003,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 4 to 5,0.098,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 5 to 5,0.76,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 6 to 5,0.127,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 5 to 6,0.063,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 5 to 3,0.0104,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 5 to 1,0.089,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 6 to 6,0.727,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 7 to 6,0.115,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 6 to 1,0.378,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 6 to 4,0.018,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 6 to 7,0.073,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 7 to 7,0.731,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 7 to 5,0,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 7 to 4,0.038,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,
size class 7 to 1,0.814,direct calculation,not reported,2002-2003,10.3354/meps08437,2010,Linares,